pelicula
Pirates of the Caribbean,2003,Action,654000000,Disney
The Devil Wears Prada,2006,Comedy,326000000,Fox
Inception,2010,Sci-Fi,829895144,Warner Bros.
Lost in Translation,2003,Drama,119723856,Focus Features
Training Day,2001,Crime,104876233,Warner Bros.
